"Designator","Value","Q","Package","Category","Stock","Manufacturer","MPN","Datasheet","Vendor","Link","Unit","Total","MOQ","Description"
"R8, R10, R21, R44, R82, ","100K","5","","","","","","~","","","","0","","R_US: Resistor, US symbol"
"R12, ","10","1","","","","","","~","","","","0","","R_US: Resistor, US symbol"
"R13, R14, ","22","2","","","","","","~","","","","0","","R_US: Resistor, US symbol"
"R15, R50, R65, R66, R67, R78, R79, R81, ","470K","8","","","","","","~","","","","0","","R_US: Resistor, US symbol"
"R16, ","126K","1","","","","","","~","","","","0","","R_US: Resistor, US symbol"
"R20, ","54.9K","1","","","","","","~","","","","0","","R_US: Resistor, US symbol"
"R22, ","11.1K","1","","","","","","~","","","","0","","R_US: Resistor, US symbol"
"R23, R45, R46, R47, ","1K","4","","","","","","~","","","","0","","R_US: Resistor, US symbol"
"R24, ","1M","1","","","","","","~","","","","0","","R_US: Resistor, US symbol"
"R26, R27, R61, ","60.4","3","","","","","","~","","","","0","","R_US: Resistor, US symbol"
"R29, ",".01","1","","","","","","~","","","","0","","R_US: Resistor, US symbol"
"R31, R51, R62, R63, R64, R70, ","100","6","","","","","","~","","","","0","","R_US: Resistor, US symbol"
"R32, R33, ","294","2","","","","","","~","","","","0","","R_US: Resistor, US symbol"
"R34, ","4.7","1","","","","","","~","","","","0","","R_US: Resistor, US symbol"
"R36, ","47K","1","","","","","","~","","","","0","","R_US: Resistor, US symbol"
"R37, R38, ","50.5K","2","","","","","","~","","","","0","","R_US: Resistor, US symbol"
"R39, ","3K","1","","","","","","~","","","","0","","R_US: Resistor, US symbol"
"R40, ","4.7K","1","","","","","","~","","","","0","","R_US: Resistor, US symbol"
"R41, R42, ","4K","2","","","","","","~","","","","0","","R_US: Resistor, US symbol"
"R43, ","127K","1","","","","","","~","","","","0","","R_US: Resistor, US symbol"
"R48, ","5.24K","1","","","","","","~","","","","0","","R_US: Resistor, US symbol"
"R49, ","30.31k","1","","","","","","~","","","","0","","R_US: Resistor, US symbol"
"R59, R60, ","220","2","","","","","","~","","","","0","","R_US: Resistor, US symbol"
"R83, ","200K","1","","","","","","~","","","","0","","R_US: Resistor, US symbol"
"R84, ","1.3M","1","","","","","","~","","","","0","","R_US: Resistor, US symbol"
"R85, ","68K","1","","","","","","~","","","","0","","R_US: Resistor, US symbol"
"RV1, RV2, RV3, RV4, RV5, ","USB0001DP","5","","","","","","~","","","","0","","Varistor: Voltage dependent resistor"
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, ","TestPoint","21","","","","","","~","","","","0","","TestPoint: test point"
"U1, ","IIS2DLPCTR","1","","","","","","","","","","0","","IIS2DLPCTR: "
"U2, ","DMP6110SSDQ","1","","","","","","","","","","0","","DMP6110SSDQ: "
"U3, ","MAX16013TT+T","1","","","","","","","","","","0","","MAX16013: "
"U4, ","61300411121","1","","","","","","","","","","0","","61300411121: "
