"#","Reference","Value","Footprint","Qty","Tolerance","Voltage","Wattage","Current","Frequency","Dielectric","Datasheet","Cost @ 10000","Total Gross"
"51","R8, ","5.23K","0402","1","1%","","","","","","https://www.mouser.com/ProductDetail/Bourns/CR0402-FX-5231GLF?qs=sGAEpiMZZMvdGkrng054t5Icag9cXfRIH9iZMe%252BCNao%3D","$0.001","$0.0010"
"52","R9, ","30k","0402","1","1%","","","","","","https://www.mouser.com/ProductDetail/Bourns/CR0402-FX-3002GLF?qs=sGAEpiMZZMvdGkrng054t%252BRNGJdg958RPVVY0WS99c4%3D","$0.001","$0.0010"
"53","R10, ","127K","0402","1","1%","","","","","","https://www.mouser.com/ProductDetail/YAGEO/RC0402FR-07127KL?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7xS1%252B63H9xibs%3D","$0.002","$0.0020"
"54","R12, ","3K","0402","1","1%","","","","","","https://www.mouser.com/ProductDetail/Bourns/CR0402-FX-3001GLF?qs=sGAEpiMZZMvdGkrng054t%252BRNGJdg958RtPAezZvsI3o%3D","$0.001","$0.0010"
"55","R13, R14, R17, R43, R44, R48, ","100","0402","6","1%","","","","","","https://www.mouser.com/ProductDetail/Bourns/CR0402-FX-1000GLF?qs=sGAEpiMZZMvdGkrng054t%2Fh5BnJxeWSzX%2FxAd8obGUE%3D","$0.001","$0.0060"
"56","R18, R19, ","220","0402","2","1%","","","","","","https://www.mouser.com/ProductDetail/Bourns/CR0402-FX-2200GLF?qs=sGAEpiMZZMtlubZbdhIBICGkyIRIR3aIBwbQBulJ6Qc%3D","$0.002","$0.0040"
"57","R20, ","60.4","0402","1","1%","","","","","","https://www.mouser.com/ProductDetail/Bourns/CR0402-FX-60R4GLF?qs=sGAEpiMZZMtlubZbdhIBIDfFWzqdPB9%252BWdT6whVq3bE%3D","$0.001","$0.0010"
"58","R21, R45, R46, R53, R55, ","470K","0402","5","1%","","","","","","https://www.mouser.com/ProductDetail/Bourns/CR0402-FX-4703GLF?qs=sGAEpiMZZMvdGkrng054t%252BRNGJdg958R7u3MYEQqPlk%3D","$0.001","$0.0050"
"59","R22, R23, R24, ","1K","0402","3","1%","","","","","","https://www.mouser.com/ProductDetail/Bourns/CR0402AFX-1001GLF?qs=sGAEpiMZZMvdGkrng054twKDKoBh%252BscnFee7HVwZDhG8HmL2DMKS5w%3D%3D","$0.002","$0.0060"
"60","R25, ","4.7","0402","1","5%","","","","","","https://www.mouser.com/ProductDetail/Bourns/CR0402-J-4R7GLF?qs=sGAEpiMZZMvdGkrng054t%252BRNGJdg958RC%252BwyJf8cdDo%3D","$0.001","$0.0010"
"61","R26, R27, ","4.02K","0402","2","1%","","","","","","https://www.mouser.com/ProductDetail/Bourns/CR0402-FX-4021GLF?qs=sGAEpiMZZMvdGkrng054t%252BRNGJdg958RrbK5b6drY4w%3D","$0.001","$0.0020"
"62","R28, ","4.7K","0402","1","1%","","","","","","https://www.mouser.com/ProductDetail/Bourns/CR0402-FX-4701GLF?qs=sGAEpiMZZMvdGkrng054t%252BRNGJdg958RaN9FkSE%2Fn3k%3D","$0.002","$0.0020"
"63","R30, ","11.1K","0402","1","0.1%","","","","","","https://www.mouser.com/ProductDetail/Vishay-Dale/TNPW040211K1BEED?qs=X2kM3h%2FahgCJpjAane5r5Q%3D%3D","$0.10","$0.1000"
"64","R31, R32, ","54.9K","0402","2","1%","","","","","","https://www.mouser.com/ProductDetail/Bourns/CR0402-FX-5492GLF?qs=sGAEpiMZZMvdGkrng054t5Icag9cXfRImPxMChNLLmA%3D","$0.002","$0.0040"
"65","R33, ","47K","0402","1","1%","","","","","","https://www.mouser.com/ProductDetail/Bourns/CR0402-FX-4702GLF?qs=sGAEpiMZZMvdGkrng054t%252BRNGJdg958R7KDWNWI6tSs%3D","$0.001","$0.0010"
"66","R34, R52, ","0","0402","2","","","","","","","https://www.mouser.com/ProductDetail/Royalohm/HP02WAJ0000TCE?qs=sGAEpiMZZMvdGkrng054t2cqbZCzJY7NaW2m6tDLKbjxE%2F0ItuXR%252Bw%3D%3D","$0.001","$0.0020"
"67","R36, ","126K","0402","1","1%","","","","","","~","","$0.0000"
"68","R38, ","187K","0402","1","1%","","","","","","https://www.mouser.com/ProductDetail/Bourns/CR0402-FX-1873GLF?qs=sGAEpiMZZMvdGkrng054t%252BRNGJdg958RMZA1cp2f%2Fw4%3D","$0.001","$0.0010"
"69","R39, ","8.2K","0402","1","1%","","","","","","https://www.mouser.com/ProductDetail/Bourns/CR0402-FX-8201GLF?qs=sGAEpiMZZMvdGkrng054t%252BRNGJdg958R9rDyvS0zwdk%3D","$0.001","$0.0010"
"70","R42, ","2.2M","0402","1","1%","","","","","","https://www.mouser.com/ProductDetail/YAGEO/AC0402FR-7D2M2L?qs=sGAEpiMZZMvdGkrng054t7z4BkURc4LzklZeFZd0aWh8%2Fo5XqyM3dw%3D%3D","$0.002","$0.0020"
"71","R49, ","68K","0402","1","1%","","","","","","https://www.mouser.com/ProductDetail/Bourns/CR0402-FX-6802GLF?qs=sGAEpiMZZMvdGkrng054t%252BRNGJdg958R23u%252BmkTkT7g%3D","$0.001","$0.0010"
"72","R50, ","1.3M","0402","1","1%","","","","","","https://www.mouser.com/ProductDetail/YAGEO/RC0402FR-071M3L?qs=sGAEpiMZZMvdGkrng054tx7%2F6%252BNA3LAJq6PanyUELSo%3D","$0.002","$0.0020"
"73","R51, ","200K","0402","1","1%","","","","","","https://www.mouser.com/ProductDetail/Bourns/CR0402-FX-2003GLF?qs=sGAEpiMZZMvdGkrng054t%2Fh5BnJxeWSzz6B824BO6f0%3D","$0.002","$0.0020"
"74","R56, ","1M","0402","1","1%","","","","","","https://www.mouser.com/ProductDetail/Bourns/CR0402-FX-1004GLF?qs=sGAEpiMZZMvdGkrng054t%252BRNGJdg958RqRdxEs78TpU%3D","$0.001","$0.0010"
"75","RV1, ","USB0001DP","0603","1","","18V","","4A","","","https://www.mouser.com/ProductDetail/KYOCERA-AVX/USB0001DP?qs=uJhfjP5Xp6wpAsZ0ctZLuw%3D%3D","$0.138","$0.1380"
"76","TH1, ","10K","?","1","","","","","","","~","","$0.0000"
"77","TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, ","TestPoint","","12","","","","","","","~","","$0.0000"
"78","U1, ","TPL5010DDCR","SOT-23-6","1","","","","","","","https://www.mouser.com/ProductDetail/Texas-Instruments/TPL5010DDCR?qs=beZBGHSk9c1Q%2FTwsXVPVNQ%3D%3D","$0.358","$0.3580"
